id,park,land,attraction,dis_link,img
75,Hollywood Studios,Star Wars: Galaxy's Edge,Millennium Falcon: Smugglers Run,https://disneyworld.disney.go.com/attractions/hollywood-studios/millennium-falcon-smugglers-run/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/630/354/90/media/disneyparksjapan-prod/disneyparksjapan_v0001/1/media/dlr/destinations/smugglers-run-interior-16x9.jpg
76,Hollywood Studios,Star Wars: Galaxy's Edge,Star Wars: Rise of the Resistance,https://disneyworld.disney.go.com/attractions/hollywood-studios/star-wars-rise-of-the-resistance/,https://cdn1.parksmedia.wdprapps.disney.com/media/blog/wp-content/uploads/2019/08/slrghl6n8i9o9-624x351.jpg
77,Hollywood Studios,Toy Story Land ,Toy Story Mania!,https://disneyworld.disney.go.com/attractions/hollywood-studios/toy-story-mania/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/gallery/attractions/hollywood-studios/toy-story-mania/toy-story-mania-gallery00.jpg?1559892255928
78,Hollywood Studios,Toy Story Land ,Slinky Dog Dash,https://disneyworld.disney.go.com/attractions/hollywood-studios/slinky-dog-dash/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/disney-world/destinations/hollywood-studios/toy-story-land/toy-story-slinky-dog-ride-16x9.jpg?1637954514038
79,Hollywood Studios,Toy Story Land ,Alien Swirling Saucers,https://disneyworld.disney.go.com/attractions/hollywood-studios/alien-swirling-saucers/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/disney-world/attractions/hollywood-studios/alien-swirling-saucers/toy-story-alien-swirling-saucers-entrance-16x9.jpg?1560801030851
80,Hollywood Studios,Animation Courtyard,Disney Junior Play and Dance!,https://disneyworld.disney.go.com/entertainment/hollywood-studios/disney-junior-play-dance/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/disney-world/entertainment/hollywood-studios/new-entertainment/dinsey-jurnior-play-dance-16x9.jpg?1646948395246
81,Hollywood Studios,Animation Courtyard,Star Wars Launch Bay,https://disneyworld.disney.go.com/attractions/hollywood-studios/star-wars-launch-bay/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/parks-and-tickets/attractions/hollywood-studios/star-wars/star-wars-35.jpg?1645791717771
82,Hollywood Studios,Animation Courtyard,Voyage of the Little Mermaid,https://disneyworld.disney.go.com/attractions/magic-kingdom/under-the-sea-journey-of-the-little-mermaid/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/parks-and-tickets/attractions/magic-kingdom/under-the-sea-journey-of-the-little-mermaid/under-the-sea-journey-of-the-little-mermaid-new-00.jpg?1634619836144
83,Hollywood Studios,Animation Courtyard,Walt Disney Presents,https://disneyworld.disney.go.com/attractions/hollywood-studios/walt-disney-presents/,https://cdn1.parksmedia.wdprapps.disney.com/resize/mwImage/1/1600/900/75/dam/wdpro-assets/gallery/attractions/hollywood-studios/walt-disney-one-mans-dream/walt-disney-one-mans-dream-gallery02.jpg?1648237514157
84,Hollywood Studios,Sunset Boulevard,The Twilight Zone Tower of Terror,https://disneyworld.disney.go.com/attractions/hollywood-studios/twilight-zone-tower-of-terror/,https://static.wikia.nocookie.net/disney/images/4/48/TowerOfTerror_MGM.jpg/revision/latest?cb=20160206020516
